,activity_participation,cohort,institution_id,label,label_extended,release_year,source_id,license_info.exceptions_contact,license_info.history,license_info.id,license_info.license,license_info.source_specific_info,license_info.url,model_component.aerosol.description,model_component.aerosol.native_nominal_resolution,model_component.atmos.description,model_component.atmos.native_nominal_resolution,model_component.atmosChem.description,model_component.atmosChem.native_nominal_resolution,model_component.land.description,model_component.land.native_nominal_resolution,model_component.landIce.description,model_component.landIce.native_nominal_resolution,model_component.ocean.description,model_component.ocean.native_nominal_resolution,model_component.ocnBgchem.description,model_component.ocnBgchem.native_nominal_resolution,model_component.seaIce.description,model_component.seaIce.native_nominal_resolution,model_component.seaIce.native_ominal_resolution
57,['HighResMIP'],['Published'],['ECMWF'],ECMWF-IFS-LR,ECMWF-IFS-LR (50 km atmosphere and 100 km ocean),2017,ECMWF-IFS-LR,@ecmwf.int <- christopher.roberts,2017-09-15: initially published under CC BY-NC-SA 4.0; 2022-07-26: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"IFS (IFS CY43R1, Tco199, cubic octahedral reduced Gaussian grid equivalent to 800 x 400 longitude/latitude; 91 levels; top level 0.01 hPa)",50 km,none,none,HTESSEL (as implemented in IFS CY43R1),50 km,none,none,NEMO3.4 (NEMO v3.4; ORCA1 tripolar grid; 362 x 292 longitude/latitude; 75 levels; top grid cell 0-1 m),100 km,none,none,LIM2 (LIM v2; ORCA1 tripolar grid; 362 x 292 longitude/latitude),100 km,
58,['HighResMIP'],['Published'],['ECMWF'],ECMWF-IFS-MR,ECMWF-IFS-MR (50 km atmosphere and 25 km ocean),2017,ECMWF-IFS-MR,@ecmwf.int <- christopher.roberts,2018-11-15: initially published under CC BY-NC-SA 4.0; 2022-07-26: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"IFS (IFS CY43R1, Tco199, cubic octahedral reduced Gaussian grid equivalent to 800 x 400 longitude/latitude; 91 levels; top level 0.01 hPa)",50 km,none,none,HTESSEL (as implemented in IFS CY43R1),50 km,none,none,NEMO3.4 (NEMO v3.4; ORCA025 tripolar grid; 1442 x 1021 longitude/latitude; 75 levels; top grid cell 0-1 m),25 km,none,none,LIM2 (LIM v2; ORCA025 tripolar grid; 1442 x 1021 longitude/latitude),25 km,
59,"['CMIP', 'HighResMIP', 'OMIP']",['Published'],['CAS'],FGOALS-f3-H,FGOALS-f3-H,2017,FGOALS-f3-H,@mail.iap.ac.cn <- linpf,2019-08-16: initially published under CC BY-SA 4.0; 2022-10-04: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"FAMIL2.2 (Cubed-sphere, c384; 1440 x 720 longitude/latitude; 32 levels; top level 2.16 hPa)",25 km,none,none,CLM4.0,25 km,none,none,"LICOM3.0 (LICOM3.0, tripolar primarily 0.1deg; 3600 x 2302 longitude/latitude; 55 levels; top grid cell 0-5 m)",10 km,none,none,CICE4.0,10 km,
60,"['CMIP', 'DCPP', 'GMMIP', 'HighResMIP', 'OMIP', 'PAMIP', 'PMIP', 'SIMIP', 'ScenarioMIP']",['Published'],['CAS'],FGOALS-f3-L,FGOALS-f3-L,2017,FGOALS-f3-L,@mail.iap.ac.cn <- linpf,2018-11-08: initially published under CC BY-SA 4.0; 2022-10-04: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,"FAMIL2.2 (Cubed-sphere, c96; 360 x 180 longitude/latitude; 32 levels; top level 2.16 hPa)",100 km,none,none,CLM4.0,100 km,none,none,"LICOM3.0 (LICOM3.0, tripolar primarily 1deg; 360 x 218 longitude/latitude; 30 levels; top grid cell 0-10 m)",100 km,none,none,CICE4.0,100 km,
61,"['CMIP', 'CORDEX', 'DAMIP', 'DCPP', 'FAFMIP', 'GMMIP', 'LS3MIP', 'OMIP', 'PMIP', 'SIMIP', 'ScenarioMIP']",['Published'],['CAS'],FGOALS-g3,FGOALS-g3,2017,FGOALS-g3,@mail.iap.ac.cn <- linpf,2019-08-18: initially published under CC BY-SA 4.0; 2022-10-04: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,GAMIL3 (180 x 80 longitude/latitude; 26 levels; top level 2.19hPa),250 km,none,none,CAS-LSM,250 km,none,none,"LICOM3.0 (LICOM3.0, tripolar primarily 1deg; 360 x 218 longitude/latitude; 30 levels; top grid cell 0-10 m)",100 km,none,none,CICE4.0,100 km,
62,"['CMIP', 'DCPP', 'GMMIP', 'OMIP', 'ScenarioMIP', 'SIMIP']",['Published'],['FIO-QLNM'],FIO-ESM 2.0,FIO-ESM 2.0,2018,FIO-ESM-2-0,@fio.org.cn <- songroy,2019-09-10: initially published under CC BY-SA 4.0; 2022-09-27: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,Prescribed monthly fields,100 km,CAM4 (0.9x1.25 finite volume grid; 192 x 288 longitude/latitude; 26 levels; top level ~2 hPa),100 km,none,none,CLM4.0 (same grid at atmos),100 km,none,none,"POP2-W (POP2 coupled with MASNUM surface wave model, Displaced Pole; 320 x 384 longitude/latitude; 60 levels; top grid cell 0-10 m)",100 km,none,none,CICE4.0 (same grid as ocean),100 km,
63,['CMIP'],['Published'],['NOAA-GFDL'],GFDL-AM4,GFDL-AM4,2018,GFDL-AM4,@noaa.gov <- gfdl.climate.model.info,2018-03-01: initially published under CC BY-SA 4.0; 2022-06-08: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,interactive,100 km,GFDL-AM4.0 (Cubed-sphere (c96) - 1 degree nominal horizontal resolution; 360 x 180 longitude/latitude; 33 levels; top level 1 hPa),100 km,"fast chemistry, aerosol only",100 km,GFDL-LM4.0,100 km,GFDL-LM4.0,100 km,none,none,none,none,none,none,
64,"['CFMIP', 'CMIP', 'DAMIP', 'DynVarMIP', 'FAFMIP', 'GMMIP', 'OMIP', 'RFMIP', 'ScenarioMIP']",['Published'],['NOAA-GFDL'],GFDL-CM4,GFDL-CM4,2018,GFDL-CM4,@noaa.gov <- gfdl.climate.model.info,2018-03-01: initially published under CC BY-SA 4.0; 2022-06-08: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,interactive,100 km,GFDL-AM4.0.1 (Cubed-sphere (c96) - 1 degree nominal horizontal resolution; 360 x 180 longitude/latitude; 33 levels; top level 1 hPa),100 km,"fast chemistry, aerosol only",100 km,"GFDL-LM4.0.1 (1 degree nominal horizontal resolution; 360 x 180 longitude/latitude; 20 levels; bottom level 10m); land-Veg:unnamed (dynamic vegetation, dynamic land use); land-Hydro:unnamed (soil water and ice, multi-layer snow, rivers and lakes)",100 km,GFDL-LM4.0.1,100 km,"GFDL-OM4p25 (GFDL-MOM6, tripolar - nominal 0.25 deg; 1440 x 1080 longitude/latitude; 75 levels; top grid cell 0-2 m)",25 km,GFDL-BLINGv2,25 km,"GFDL-SIM4p25 (GFDL-SIS2.0, tripolar - nominal 0.25 deg; 1440 x 1080 longitude/latitude; 5 layers; 5 thickness categories)",25 km,
65,['HighResMIP'],['Published'],['NOAA-GFDL'],GFDL-CM4C192,GFDL-CM4C192,2018,GFDL-CM4C192,@noaa.gov <- gfdl.climate.model.info,2018-07-01: initially published under CC BY-SA 4.0; 2022-06-08: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,interactive,50 km,GFDL-AM4C192 (Cubed-sphere (c192) - 0.5 degree nominal horizontal resolution; 720 x 360 longitude/latitude; 33 levels; top level 1 hPa),50 km,"fast chemistry, aerosol only",50 km,GFDL-LM4.0.1,50 km,GFDL-LM4.0.1,50 km,"GFDL-OM4p25 (GFDL-MOM6, tripolar - nominal 0.25 deg; 1440 x 1080 longitude/latitude; 75 levels; top grid cell 0-2 m)",25 km,none,none,"GFDL-SIM4p25 (GFDL-SIS2.0, tripolar - nominal 0.25 deg; 1440 x 1080 longitude/latitude; 5 layers; 5 thickness categories)",25 km,
66,['FAFMIP'],['Published'],['NOAA-GFDL'],GFDL-ESM2M,GFDL-ESM2M,2012,GFDL-ESM2M,@noaa.gov <- gfdl.climate.model.info,2018-07-01: initially published under CC BY-SA 4.0; 2022-06-08: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,prescribed,250 km,GFDL-AM2 (144 x 90 longitude/latitude; 24 levels; top level 1 hPa),250 km,prescribed,250 km,GFDL-LM3.0,250 km,GFDL-LM3.0,250 km,GFDL-MOM4p1 (tripolar - nominal 1 deg; 360 x 200 longitude/latitude; 50 levels; top grid cell 0-10 m),100 km,GFDL-TOPAZ2,100 km,"GFDL-SIM2 (GFDL-SIS, tripolar - nominal 1 deg; 360 x 200 longitude/latitude; 3 layers; 5 thickness categories)",100 km,
67,"['AerChemMIP', 'C4MIP', 'CDRMIP', 'CMIP', 'DAMIP', 'DynVarMIP', 'FAFMIP', 'LUMIP', 'RFMIP', 'ScenarioMIP']",['Published'],['NOAA-GFDL'],GFDL-ESM4,GFDL-ESM4,2018,GFDL-ESM4,@noaa.gov <- gfdl.climate.model.info,2018-07-01: initially published under CC BY-SA 4.0; 2022-06-08: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,interactive,100 km,GFDL-AM4.1 (Cubed-sphere (c96) - 1 degree nominal horizontal resolution; 360 x 180 longitude/latitude; 49 levels; top level 1 Pa),100 km,GFDL-ATMCHEM4.1 (full atmospheric chemistry),100 km,GFDL-LM4.1,100 km,GFDL-LM4.1,100 km,"GFDL-OM4p5 (GFDL-MOM6, tripolar - nominal 0.5 deg; 720 x 576 longitude/latitude; 75 levels; top grid cell 0-2 m)",50 km,GFDL-COBALTv2,50 km,"GFDL-SIM4p5 (GFDL-SIS2.0, tripolar - nominal 0.5 deg; 720 x 576 longitude/latitude; 5 layers; 5 thickness categories)",50 km,
68,['RFMIP'],['Published'],['NOAA-GFDL'],GFDL-GRTCODE,GFDL GPU radiative transfer code with two stream solver (March 2019),2019,GFDL-GRTCODE,@noaa.gov <- gfdl.climate.model.info,2018-07-01: initially published under CC BY-NC-SA 4.0; 2022-06-08: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
69,['OMIP'],['Published'],['NOAA-GFDL'],GFDL-OM4p5B,GFDL-OM4p5B,2018,GFDL-OM4p5B,@noaa.gov <- gfdl.climate.model.info,2018-07-01: initially published under CC BY-SA 4.0; 2022-06-08: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,none,none,none,none,none,none,none,none,"GFDL-OM4p5 (GFDL-MOM6, tripolar - nominal 0.5 deg; 720 x 576 longitude/latitude; 75 levels; top grid cell 0-2 m)",50 km,GFDL-BLINGv2,50 km,"GFDL-SIM4p5 (GFDL-SIS2.0, tripolar - nominal 0.5 deg; 720 x 576 longitude/latitude; 5 layers; 5 thickness categories)",50 km,
70,['RFMIP'],['Published'],['NOAA-GFDL'],GFDL-RFM-DISORT,GFDL Reference Forward Model Line-by-Line with DISORT solver (March 2019),2019,GFDL-RFM-DISORT,@noaa.gov <- gfdl.climate.model.info,2018-07-01: initially published under CC BY-NC-SA 4.0; 2022-06-08: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,
71,"['AerChemMIP', 'C4MIP', 'CFMIP', 'CMIP', 'DAMIP', 'DynVarMIP', 'FAFMIP', 'GMMIP', 'ISMIP6', 'LS3MIP', 'LUMIP', 'OMIP', 'PAMIP', 'PMIP', 'RFMIP', 'SIMIP', 'ScenarioMIP', 'VIACSAB', 'VolMIP']",['Published'],['NASA-GISS'],GISS-E2.1G,GISS-E2.1G,2019,GISS-E2-1-G,@lists.nasa.gov <- cmip-giss-l,2018-08-21: initially published under CC BY-SA 4.0; 2021-12-01: relaxed to CC0 1.0,CC0 1.0,Creative Commons CC0 1.0 Universal Public Domain Dedication (CC0 1.0; https://creativecommons.org/publicdomain/zero/1.0/),https://data.giss.nasa.gov/modelE/cmip6/#datalicense,https://creativecommons.org/publicdomain/zero/1.0/,"Varies with physics-version (p==1 none, p==3 OMA, p==4 TOMAS, p==5 MATRIX)",250 km,GISS-E2.1 (2.5x2 degree; 144 x 90 longitude/latitude; 40 levels; top level 0.1 hPa),250 km,"Varies with physics-version (p==1 Non-interactive, p>1 GPUCCINI)",250 km,GISS LSM,250 km,none,none,"GISS Ocean (GO1, 1 degree; 360 x 180 longitude/latitude; 40 levels; top grid cell 0-10 m)",100 km,none,none,GISS SI,250 km,
72,"['C4MIP', 'CMIP', 'ScenarioMIP']",['Published'],['NASA-GISS'],GISS-E2-1-G-CC,GISS-E2-1-G-CC,2019,GISS-E2-1-G-CC,@lists.nasa.gov <- cmip-giss-l,2019-03-25: initially published under CC BY-SA 4.0; 2021-12-01: relaxed to CC0 1.0,CC0 1.0,Creative Commons CC0 1.0 Universal Public Domain Dedication (CC0 1.0; https://creativecommons.org/publicdomain/zero/1.0/),https://data.giss.nasa.gov/modelE/cmip6/#datalicense,https://creativecommons.org/publicdomain/zero/1.0/,"varies with physics-version (p==1 none, p==3 OMA, p==4 TOMAS, p==5 MATRIX)",250 km,GISS-E2.1 (2 x 2.5 degrees; 144 x 90 longitude/latitude; 40 levels; top level 0.1 hPa),250 km,"varies with physics-version (p==1 Non-interactive, p>1 GPUCCINI)",250 km,GISS LSM,250 km,Fixed,250 km,GISS Ocean (1 deg; 360 x 180 longitude/latitude; 40 levels; top grid cell 0-10m),100 km,NOBM (NASA Ocean Biogeochemistry Model; same grid as ocean),100 km,GISS SI (same grid as ocean),100 km,
73,"['CFMIP', 'CMIP', 'OMIP', 'PAMIP', 'SIMIP', 'ScenarioMIP']",['Published'],['NASA-GISS'],GISS-E2.1H,GISS-E2.1H,2019,GISS-E2-1-H,@lists.nasa.gov <- cmip-giss-l,2018-08-24: initially published under CC BY-SA 4.0; 2021-12-01: relaxed to CC0 1.0,CC0 1.0,Creative Commons CC0 1.0 Universal Public Domain Dedication (CC0 1.0; https://creativecommons.org/publicdomain/zero/1.0/),https://data.giss.nasa.gov/modelE/cmip6/#datalicense,https://creativecommons.org/publicdomain/zero/1.0/,"Varies with physics-version (p==1 none, p==3 OMA, p==4 TOMAS, p==5 MATRIX)",250 km,GISS-E2.1 (2.5x2 degree; 144 x 90 longitude/latitude; 40 levels; top level 0.1 hPa),250 km,"Varies with physics-version (p==1 Non-interactive, p>1 GPUCCINI)",250 km,GISS LSM,250 km,none,none,HYCOM Ocean (~1 degree tripolar grid; 360 x 180 longitude/latitude; 33 levels; top grid cell 0-10 m),100 km,none,none,GISS SI,250 km,
74,"['AerChemMIP', 'CFMIP', 'CMIP', 'DAMIP', 'DynVarMIP', 'FAFMIP', 'GMMIP', 'ISMIP6', 'LS3MIP', 'LUMIP', 'OMIP', 'PAMIP', 'PMIP', 'RFMIP', 'SIMIP', 'ScenarioMIP', 'VIACSAB', 'VolMIP']",['Published'],['NASA-GISS'],GISS-E2-2-G,GISS-E2-2-G,2019,GISS-E2-2-G,@lists.nasa.gov <- cmip-giss-l,2019-11-20: initially published under CC BY-SA 4.0; 2021-12-01: relaxed to CC0 1.0,CC0 1.0,Creative Commons CC0 1.0 Universal Public Domain Dedication (CC0 1.0; https://creativecommons.org/publicdomain/zero/1.0/),https://data.giss.nasa.gov/modelE/cmip6/#datalicense,https://creativecommons.org/publicdomain/zero/1.0/,"varies with physics-version (p==1 none, p==3 OMA, p==4 TOMAS, p==5 MATRIX)",250 km,"GISS-E2.2 (High-top, 2 x 2.5 degrees; 144 x 90 longitude/latitude; 102 levels; top level 0.002 hPa)",250 km,"varies with physics-version (p==1 Non-interactive, p>1 GPUCCINI)",250 km,GISS LSM,250 km,Fixed,250 km,"GISS Ocean (GO1, 1 degree; 360 x 180 longitude/latitude; 40 levels; top grid cell 0-10m)",100 km,none,none,GISS SI,100 km,
75,"['CFMIP', 'CMIP', 'SIMIP', 'ScenarioMIP']",['Published'],['NASA-GISS'],GISS-E2.2H,GISS-E2.2H,2021,GISS-E2-2-H,@lists.nasa.gov <- cmip-giss-l,2019-11-20: initially published under CC BY-SA 4.0; 2021-12-01: relaxed to CC0 1.0,CC0 1.0,Creative Commons CC0 1.0 Universal Public Domain Dedication (CC0 1.0; https://creativecommons.org/publicdomain/zero/1.0/),https://data.giss.nasa.gov/modelE/cmip6/#datalicense,https://creativecommons.org/publicdomain/zero/1.0/,"Varies with physics-version (p==1 none, p==3 OMA, p==4 TOMAS, p==5 MATRIX)",250 km,"GISS-E2.2 (High Top, 2.5x2 degree; 144 x 90 longitude/latitude; 102 levels; top level 0.002 hPa)",250 km,"Varies with physics-version (p==1 Non-interactive, p>1 GPUCCINI)",250 km,GISS LSM,250 km,none,none,HYCOM Ocean (~1 degree tripolar grid; 360 x 180 longitude/latitude; 33 levels; top grid cell 0-10 m),100 km,none,none,GISS SI (same grid as atmos),250 km,
76,"['AerChemMIP', 'C4MIP', 'CFMIP', 'CMIP', 'DAMIP', 'DynVarMIP', 'FAFMIP', 'GMMIP', 'ISMIP6', 'LS3MIP', 'LUMIP', 'OMIP', 'PAMIP', 'PMIP', 'RFMIP', 'SIMIP', 'ScenarioMIP', 'VIACSAB', 'VolMIP']",['Published'],['NASA-GISS'],GISS-E3-G,GISS-E3-G,2020,GISS-E3-G,@lists.nasa.gov <- cmip-giss-l,2019-12-30: initially published under CC BY-NC-SA 4.0; 2021-12-01: relaxed to CC0 1.0,CC0 1.0,Creative Commons CC0 1.0 Universal Public Domain Dedication (CC0 1.0; https://creativecommons.org/publicdomain/zero/1.0/),https://data.giss.nasa.gov/modelE/cmip6/#datalicense,https://creativecommons.org/publicdomain/zero/1.0/,"Varies with physics-version (p==1 none, p==3 OMA, p==4 TOMAS, p==5 MATRIX)",100 km,"GISS-E3 (Cubed sphere, C90; 90 x 90 x 6 gridboxes/cubeface, grid resolution aligns with longitude/latitude along central lines for each cubeface; 102 levels; top level 0.002 hPa)",100 km,"Varies with physics-version (p==1 Non-interactive, p>1 GPUCCINI)",100 km,GISS LSM,100 km,none,none,GISS Ocean (1 degree; 360 x 180 longitude/latitude; 32 levels; top grid cell 0-10 m),100 km,none,none,GISS SI,100 km,
77,"['CMIP', 'HighResMIP']",['Published'],"['MOHC', 'NERC']",HadGEM3-GC31-HH,HadGEM3-GC3.1-N512ORCA12,2016,HadGEM3-GC31-HH,@metoffice.gov.uk <- cmip6.hadgem3,2018-09-27: initially published under CC BY-SA 4.0; 2021-11-15: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International License (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),https://ukesm.ac.uk/licensing-of-met-office-nerc-and-niwa-cmip6-data/,https://creativecommons.org/licenses/by/4.0/,UKCA-GLOMAP-mode,50 km,MetUM-HadGEM3-GA7.1 (N512; 1024 x 768 longitude/latitude; 85 levels; top level 85 km),50 km,none,none,JULES-HadGEM3-GL7.1,50 km,none,none,NEMO-HadGEM3-GO6.0 (eORCA12 tripolar primarily 1/12 deg; 4320 x 3604 longitude/latitude; 75 levels; top grid cell 0-1 m),10 km,none,none,CICE-HadGEM3-GSI8 (eORCA12 tripolar primarily 1/12 deg; 4320 x 3604 longitude/latitude),10 km,
78,"['CMIP', 'HighResMIP']",['Published'],"['MOHC', 'NERC']",HadGEM3-GC31-HM,HadGEM3-GC3.1-N512ORCA025,2016,HadGEM3-GC31-HM,@metoffice.gov.uk <- cmip6.hadgem3,2017-08-31: initially published under CC BY-SA 4.0; 2021-11-15: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International License (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),https://ukesm.ac.uk/licensing-of-met-office-nerc-and-niwa-cmip6-data/,https://creativecommons.org/licenses/by/4.0/,UKCA-GLOMAP-mode,50 km,MetUM-HadGEM3-GA7.1 (N512; 1024 x 768 longitude/latitude; 85 levels; top level 85 km),50 km,none,none,JULES-HadGEM3-GL7.1,50 km,none,none,NEMO-HadGEM3-GO6.0 (eORCA025 tripolar primarily 0.25 deg; 1440 x 1205 longitude/latitude; 75 levels; top grid cell 0-1 m),25 km,none,none,CICE-HadGEM3-GSI8 (eORCA025 tripolar primarily 0.25 deg; 1440 x 1205 longitude/latitude),25 km,
79,"['CFMIP', 'CMIP', 'DAMIP', 'FAFMIP', 'HighResMIP', 'LS3MIP', 'LUMIP', 'PMIP', 'RFMIP', 'ScenarioMIP']",['Published'],"['MOHC', 'NERC']",HadGEM3-GC31-LL,HadGEM3-GC3.1-N96ORCA1,2016,HadGEM3-GC31-LL,@metoffice.gov.uk <- cmip6.hadgem3,2017-09-21: initially published under CC BY-SA 4.0; 2021-11-15: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International License (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),https://ukesm.ac.uk/licensing-of-met-office-nerc-and-niwa-cmip6-data/,https://creativecommons.org/licenses/by/4.0/,UKCA-GLOMAP-mode,250 km,MetUM-HadGEM3-GA7.1 (N96; 192 x 144 longitude/latitude; 85 levels; top level 85 km),250 km,none,none,JULES-HadGEM3-GL7.1,250 km,none,none,NEMO-HadGEM3-GO6.0 (eORCA1 tripolar primarily 1 deg with meridional refinement down to 1/3 degree in the tropics; 360 x 330 longitude/latitude; 75 levels; top grid cell 0-1 m),100 km,none,none,CICE-HadGEM3-GSI8 (eORCA1 tripolar primarily 1 deg; 360 x 330 longitude/latitude),100 km,
80,"['CMIP', 'HighResMIP']",['Published'],['MOHC'],HadGEM3-GC31-LM,HadGEM3-GC3.1-N96ORCA025,2016,HadGEM3-GC31-LM,@metoffice.gov.uk <- cmip6.hadgem3,2017-09-06: initially published under CC BY-SA 4.0; 2021-11-15: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International License (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),https://ukesm.ac.uk/licensing-of-met-office-nerc-and-niwa-cmip6-data/,https://creativecommons.org/licenses/by/4.0/,UKCA-GLOMAP-mode,250 km,MetUM-HadGEM3-GA7.1 (N96; 192 x 144 longitude/latitude; 85 levels; top level 85 km),250 km,none,none,JULES-HadGEM3-GL7.1,250 km,none,none,NEMO-HadGEM3-GO6.0 (eORCA025 tripolar primarily 0.25 deg; 1440 x 1205 longitude/latitude; 75 levels; top grid cell 0-1 m),25 km,none,none,CICE-HadGEM3-GSI8 (eORCA025 tripolar primarily 0.25 deg; 1440 x 1205 longitude/latitude),25 km,
81,"['CMIP', 'HighResMIP']",['Published'],['MOHC'],HadGEM3-GC31-MH,HadGEM3-GC3.1-N216ORCA12,2016,HadGEM3-GC31-MH,@metoffice.gov.uk <- cmip6.hadgem3,2017-12-27: initially published under CC BY-SA 4.0; 2021-11-15: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International License (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),https://ukesm.ac.uk/licensing-of-met-office-nerc-and-niwa-cmip6-data/,https://creativecommons.org/licenses/by/4.0/,UKCA-GLOMAP-mode,100 km,MetUM-HadGEM3-GA7.1 (N216; 432 x 324 longitude/latitude; 85 levels; top level 85 km),100 km,none,none,JULES-HadGEM3-GL7.1,100 km,none,none,NEMO-HadGEM3-GO6.0 (eORCA12 tripolar primarily 1/12 deg; 4320 x 3604 longitude/latitude; 75 levels; top grid cell 0-1 m),10 km,none,none,CICE-HadGEM3-GSI8 (eORCA12 tripolar primarily 1/12 deg; 4320 x 3604 longitude/latitude),10 km,
82,"['CMIP', 'DCPP', 'GMMIP', 'HighResMIP', 'LS3MIP', 'OMIP', 'PAMIP', 'ScenarioMIP']",['Published'],['MOHC'],HadGEM3-GC31-MM,HadGEM3-GC3.1-N216ORCA025,2016,HadGEM3-GC31-MM,@metoffice.gov.uk <- cmip6.hadgem3,2017-08-18: initially published under CC BY-SA 4.0; 2021-11-15: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International License (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),https://ukesm.ac.uk/licensing-of-met-office-nerc-and-niwa-cmip6-data/,https://creativecommons.org/licenses/by/4.0/,UKCA-GLOMAP-mode,100 km,MetUM-HadGEM3-GA7.1 (N216; 432 x 324 longitude/latitude; 85 levels; top level 85 km),100 km,none,none,JULES-HadGEM3-GL7.1,100 km,none,none,NEMO-HadGEM3-GO6.0 (eORCA025 tripolar primarily 0.25 deg; 1440 x 1205 longitude/latitude; 75 levels; top grid cell 0-1 m),25 km,none,none,CICE-HadGEM3-GSI8 (eORCA025 tripolar primarily 0.25 deg; 1440 x 1205 longitude/latitude),25 km,
83,['HighResMIP'],['Published'],['AS-RCEC'],HiRAM-SIT-HR,HiRAM Coupling 1-D SIT (25 km atmosphere and 25 km ocean),2018,HiRAM-SIT-HR,@gate.sinica.edu.tw <- cytu,2020-12-23: initially published under CC BY-SA 4.0; 2022-06-10: relaxed to CC BY 4.0,CC BY 4.0,Creative Commons Attribution 4.0 International (CC BY 4.0; https://creativecommons.org/licenses/by/4.0/),,https://creativecommons.org/licenses/by/4.0/,none,none,GFDL-HiRAM (Cubed-sphere (c384) - 0.25 degree nominal horizontal resolution; 1536 x 768 longitude/latitude; 32 levels; top level 1 hPa),25 km,none,none,GFDL-LM3 (same grid as atmos),25 km,none,none,"SIT (1-D, tripolar - nominal 0.25 deg; 1440 x 1080 longitude/latitude; 50 levels with skin layer and 1 m resolution for uppermost 10 m)",25 km,none,none,none,none,
