,canonical_units,grib,amip,description,id
3455,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Ra"" means the element ""radium"" and ""229Ra"" is the isotope ""radium-229"" with a half-life of 1.16e-17 days.",surface_radioactivity_content_of_229Ra
3456,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Th"" means the element ""thorium"" and ""229Th"" is the isotope ""thorium-229"" with a half-life of 2.68e+06 days.",surface_radioactivity_content_of_229Th
3457,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pa"" means the element ""protactinium"" and ""230Pa"" is the isotope ""protactinium-230"" with a half-life of 1.77e+01 days.",surface_radioactivity_content_of_230Pa
3458,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Th"" means the element ""thorium"" and ""230Th"" is the isotope ""thorium-230"" with a half-life of 2.92e+07 days.",surface_radioactivity_content_of_230Th
3459,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""U"" means the element ""uranium"" and ""230U"" is the isotope ""uranium-230"" with a half-life of 2.08e+01 days.",surface_radioactivity_content_of_230U
3460,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pa"" means the element ""protactinium"" and ""231Pa"" is the isotope ""protactinium-231"" with a half-life of 1.19e+07 days.",surface_radioactivity_content_of_231Pa
3461,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Th"" means the element ""thorium"" and ""231Th"" is the isotope ""thorium-231"" with a half-life of 1.06e+00 days.",surface_radioactivity_content_of_231Th
3462,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""U"" means the element ""uranium"" and ""231U"" is the isotope ""uranium-231"" with a half-life of 4.29e+00 days.",surface_radioactivity_content_of_231U
3463,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pa"" means the element ""protactinium"" and ""232Pa"" is the isotope ""protactinium-232"" with a half-life of 1.31e+00 days.",surface_radioactivity_content_of_232Pa
3464,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Th"" means the element ""thorium"" and ""232Th"" is the isotope ""thorium-232"" with a half-life of 5.14e+12 days.",surface_radioactivity_content_of_232Th
3465,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""U"" means the element ""uranium"" and ""232U"" is the isotope ""uranium-232"" with a half-life of 2.63e+04 days.",surface_radioactivity_content_of_232U
3466,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pa"" means the element ""protactinium"" and ""233Pa"" is the isotope ""protactinium-233"" with a half-life of 2.70e+01 days.",surface_radioactivity_content_of_233Pa
3467,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Th"" means the element ""thorium"" and ""233Th"" is the isotope ""thorium-233"" with a half-life of 1.54e-02 days.",surface_radioactivity_content_of_233Th
3468,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""U"" means the element ""uranium"" and ""233U"" is the isotope ""uranium-233"" with a half-life of 5.90e+07 days.",surface_radioactivity_content_of_233U
3469,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pa"" means the element ""protactinium"" and ""234mPa"" is the metastable state of the isotope ""protactinium-234"" with a half-life of 8.13e-04 days.",surface_radioactivity_content_of_234mPa
3470,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pa"" means the element ""protactinium"" and ""234Pa"" is the isotope ""protactinium-234"" with a half-life of 2.81e-01 days.",surface_radioactivity_content_of_234Pa
3471,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Th"" means the element ""thorium"" and ""234Th"" is the isotope ""thorium-234"" with a half-life of 2.41e+01 days.",surface_radioactivity_content_of_234Th
3472,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""U"" means the element ""uranium"" and ""234U"" is the isotope ""uranium-234"" with a half-life of 9.02e+07 days.",surface_radioactivity_content_of_234U
3473,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Np"" means the element ""neptunium"" and ""235Np"" is the isotope ""neptunium-235"" with a half-life of 4.09e+02 days.",surface_radioactivity_content_of_235Np
3474,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pu"" means the element ""plutonium"" and ""235Pu"" is the isotope ""plutonium-235"" with a half-life of 1.81e-02 days.",surface_radioactivity_content_of_235Pu
3475,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""U"" means the element ""uranium"" and ""235U"" is the isotope ""uranium-235"" with a half-life of 2.60e+11 days.",surface_radioactivity_content_of_235U
3476,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Np"" means the element ""neptunium"" and ""236mNp"" is the metastable state of the isotope ""neptunium-236"" with a half-life of 4.72e+10 days.",surface_radioactivity_content_of_236mNp
3477,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Np"" means the element ""neptunium"" and ""236Np"" is the isotope ""neptunium-236"" with a half-life of 9.17e-01 days.",surface_radioactivity_content_of_236Np
3478,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pu"" means the element ""plutonium"" and ""236Pu"" is the isotope ""plutonium-236"" with a half-life of 1.04e+03 days.",surface_radioactivity_content_of_236Pu
3479,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""U"" means the element ""uranium"" and ""236U"" is the isotope ""uranium-236"" with a half-life of 8.73e+09 days.",surface_radioactivity_content_of_236U
3480,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Np"" means the element ""neptunium"" and ""237Np"" is the isotope ""neptunium-237"" with a half-life of 7.79e+08 days.",surface_radioactivity_content_of_237Np
3481,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pu"" means the element ""plutonium"" and ""237Pu"" is the isotope ""plutonium-237"" with a half-life of 4.56e+01 days.",surface_radioactivity_content_of_237Pu
3482,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""U"" means the element ""uranium"" and ""237U"" is the isotope ""uranium-237"" with a half-life of 6.74e+00 days.",surface_radioactivity_content_of_237U
3483,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Np"" means the element ""neptunium"" and ""238Np"" is the isotope ""neptunium-238"" with a half-life of 2.10e+00 days.",surface_radioactivity_content_of_238Np
3484,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pu"" means the element ""plutonium"" and ""238Pu"" is the isotope ""plutonium-238"" with a half-life of 3.15e+04 days.",surface_radioactivity_content_of_238Pu
3485,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""U"" means the element ""uranium"" and ""238U"" is the isotope ""uranium-238"" with a half-life of 1.65e+12 days.",surface_radioactivity_content_of_238U
3486,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Np"" means the element ""neptunium"" and ""239Np"" is the isotope ""neptunium-239"" with a half-life of 2.35e+00 days.",surface_radioactivity_content_of_239Np
3487,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pu"" means the element ""plutonium"" and ""239Pu"" is the isotope ""plutonium-239"" with a half-life of 8.91e+06 days.",surface_radioactivity_content_of_239Pu
3488,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""U"" means the element ""uranium"" and ""239U"" is the isotope ""uranium-239"" with a half-life of 1.63e-02 days.",surface_radioactivity_content_of_239U
3489,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Am"" means the element ""americium"" and ""240Am"" is the isotope ""americium-240"" with a half-life of 2.12e+00 days.",surface_radioactivity_content_of_240Am
3490,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Np"" means the element ""neptunium"" and ""240mNp"" is the metastable state of the isotope ""neptunium-240"" with a half-life of 5.08e-03 days.",surface_radioactivity_content_of_240mNp
3491,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Np"" means the element ""neptunium"" and ""240Np"" is the isotope ""neptunium-240"" with a half-life of 4.38e-02 days.",surface_radioactivity_content_of_240Np
3492,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pu"" means the element ""plutonium"" and ""240Pu"" is the isotope ""plutonium-240"" with a half-life of 2.40e+06 days.",surface_radioactivity_content_of_240Pu
3493,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""U"" means the element ""uranium"" and ""240U"" is the isotope ""uranium-240"" with a half-life of 5.99e-01 days.",surface_radioactivity_content_of_240U
3494,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Am"" means the element ""americium"" and ""241Am"" is the isotope ""americium-241"" with a half-life of 1.67e+05 days.",surface_radioactivity_content_of_241Am
3495,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cm"" means the element ""curium"" and ""241Cm"" is the isotope ""curium-241"" with a half-life of 3.50e+01 days.",surface_radioactivity_content_of_241Cm
3496,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pu"" means the element ""plutonium"" and ""241Pu"" is the isotope ""plutonium-241"" with a half-life of 4.83e+03 days.",surface_radioactivity_content_of_241Pu
3497,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Am"" means the element ""americium"" and ""242Am"" is the isotope ""americium-242"" with a half-life of 6.69e-01 days.",surface_radioactivity_content_of_242Am
3498,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cm"" means the element ""curium"" and ""242Cm"" is the isotope ""curium-242"" with a half-life of 1.63e+02 days.",surface_radioactivity_content_of_242Cm
3499,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Am"" means the element ""americium"" and ""242m1Am"" is the metastable state of the isotope ""americium-242"" with a half-life of 5.53e+04 days.",surface_radioactivity_content_of_242m1Am
3500,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Am"" means the element ""americium"" and ""242m2Am"" is the metastable state of the isotope ""americium-242"" with a half-life of 1.62e-07 days.",surface_radioactivity_content_of_242m2Am
3501,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pu"" means the element ""plutonium"" and ""242Pu"" is the isotope ""plutonium-242"" with a half-life of 1.38e+08 days.",surface_radioactivity_content_of_242Pu
3502,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Am"" means the element ""americium"" and ""243Am"" is the isotope ""americium-243"" with a half-life of 2.91e+06 days.",surface_radioactivity_content_of_243Am
3503,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cm"" means the element ""curium"" and ""243Cm"" is the isotope ""curium-243"" with a half-life of 1.17e+04 days.",surface_radioactivity_content_of_243Cm
3504,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pu"" means the element ""plutonium"" and ""243Pu"" is the isotope ""plutonium-243"" with a half-life of 2.07e-01 days.",surface_radioactivity_content_of_243Pu
3505,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Am"" means the element ""americium"" and ""244Am"" is the isotope ""americium-244"" with a half-life of 4.20e-01 days.",surface_radioactivity_content_of_244Am
3506,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cm"" means the element ""curium"" and ""244Cm"" is the isotope ""curium-244"" with a half-life of 6.42e+03 days.",surface_radioactivity_content_of_244Cm
3507,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Am"" means the element ""americium"" and ""244mAm"" is the metastable state of the isotope ""americium-244"" with a half-life of 1.81e-02 days.",surface_radioactivity_content_of_244mAm
3508,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pu"" means the element ""plutonium"" and ""244Pu"" is the isotope ""plutonium-244"" with a half-life of 2.92e+10 days.",surface_radioactivity_content_of_244Pu
3509,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Am"" means the element ""americium"" and ""245Am"" is the isotope ""americium-245"" with a half-life of 8.75e-02 days.",surface_radioactivity_content_of_245Am
3510,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cm"" means the element ""curium"" and ""245Cm"" is the isotope ""curium-245"" with a half-life of 3.40e+06 days.",surface_radioactivity_content_of_245Cm
3511,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Pu"" means the element ""plutonium"" and ""245Pu"" is the isotope ""plutonium-245"" with a half-life of 4.16e-01 days.",surface_radioactivity_content_of_245Pu
3512,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cm"" means the element ""curium"" and ""246Cm"" is the isotope ""curium-246"" with a half-life of 2.01e+06 days.",surface_radioactivity_content_of_246Cm
3513,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cm"" means the element ""curium"" and ""247Cm"" is the isotope ""curium-247"" with a half-life of 5.86e+09 days.",surface_radioactivity_content_of_247Cm
3514,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cm"" means the element ""curium"" and ""248Cm"" is the isotope ""curium-248"" with a half-life of 1.72e+08 days.",surface_radioactivity_content_of_248Cm
3515,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Bk"" means the element ""berkelium"" and ""249Bk"" is the isotope ""berkelium-249"" with a half-life of 3.15e+02 days.",surface_radioactivity_content_of_249Bk
3516,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cf"" means the element ""californium"" and ""249Cf"" is the isotope ""californium-249"" with a half-life of 1.32e+05 days.",surface_radioactivity_content_of_249Cf
3517,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cm"" means the element ""curium"" and ""249Cm"" is the isotope ""curium-249"" with a half-life of 4.43e-02 days.",surface_radioactivity_content_of_249Cm
3518,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Na"" means the element ""sodium"" and ""24Na"" is the isotope ""sodium-24"" with a half-life of 6.27e-01 days.",surface_radioactivity_content_of_24Na
3519,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Bk"" means the element ""berkelium"" and ""250Bk"" is the isotope ""berkelium-250"" with a half-life of 1.34e-01 days.",surface_radioactivity_content_of_250Bk
3520,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cf"" means the element ""californium"" and ""250Cf"" is the isotope ""californium-250"" with a half-life of 4.75e+03 days.",surface_radioactivity_content_of_250Cf
3521,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cm"" means the element ""curium"" and ""250Cm"" is the isotope ""curium-250"" with a half-life of 2.52e+06 days.",surface_radioactivity_content_of_250Cm
3522,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cf"" means the element ""californium"" and ""251Cf"" is the isotope ""californium-251"" with a half-life of 2.92e+05 days.",surface_radioactivity_content_of_251Cf
3523,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cf"" means the element ""californium"" and ""252Cf"" is the isotope ""californium-252"" with a half-life of 9.68e+02 days.",surface_radioactivity_content_of_252Cf
3524,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cf"" means the element ""californium"" and ""253Cf"" is the isotope ""californium-253"" with a half-life of 1.76e+01 days.",surface_radioactivity_content_of_253Cf
3525,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Es"" means the element ""einsteinium"" and ""253Es"" is the isotope ""einsteinium-253"" with a half-life of 2.05e+01 days.",surface_radioactivity_content_of_253Es
3526,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Cf"" means the element ""californium"" and ""254Cf"" is the isotope ""californium-254"" with a half-life of 6.03e+01 days.",surface_radioactivity_content_of_254Cf
3527,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Es"" means the element ""einsteinium"" and ""254Es"" is the isotope ""einsteinium-254"" with a half-life of 2.76e+02 days.",surface_radioactivity_content_of_254Es
3528,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Es"" means the element ""einsteinium"" and ""254mEs"" is the metastable state of the isotope ""einsteinium-254"" with a half-life of 1.63e+00 days.",surface_radioactivity_content_of_254mEs
3529,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Es"" means the element ""einsteinium"" and ""255Es"" is the isotope ""einsteinium-255"" with a half-life of 3.84e+01 days.",surface_radioactivity_content_of_255Es
3530,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""H"" means the element ""hydrogen"" and ""3H"" is the isotope ""hydrogen-3"" with a half-life of 4.51e+03 days.",surface_radioactivity_content_of_3H
3531,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Ar"" means the element ""argon"" and ""41Ar"" is the isotope ""argon-41"" with a half-life of 7.64e-02 days.",surface_radioactivity_content_of_41Ar
3532,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Mn"" means the element ""manganese"" and ""54Mn"" is the isotope ""manganese-54"" with a half-life of 3.12e+02 days.",surface_radioactivity_content_of_54Mn
3533,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Co"" means the element ""cobalt"" and ""58Co"" is the isotope ""cobalt-58"" with a half-life of 7.10e+01 days.",surface_radioactivity_content_of_58Co
3534,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Co"" means the element ""cobalt"" and ""60Co"" is the isotope ""cobalt-60"" with a half-life of 1.93e+03 days.",surface_radioactivity_content_of_60Co
3535,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Ga"" means the element ""gallium"" and ""72Ga"" is the isotope ""gallium-72"" with a half-life of 5.86e-01 days.",surface_radioactivity_content_of_72Ga
3536,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Zn"" means the element ""zinc"" and ""72Zn"" is the isotope ""zinc-72"" with a half-life of 1.94e+00 days.",surface_radioactivity_content_of_72Zn
3537,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Ga"" means the element ""gallium"" and ""73Ga"" is the isotope ""gallium-73"" with a half-life of 2.03e-01 days.",surface_radioactivity_content_of_73Ga
3538,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Ge"" means the element ""germanium"" and ""75Ge"" is the isotope ""germanium-75"" with a half-life of 5.73e-02 days.",surface_radioactivity_content_of_75Ge
3539,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""As"" means the element ""arsenic"" and ""77As"" is the isotope ""arsenic-77"" with a half-life of 1.62e+00 days.",surface_radioactivity_content_of_77As
3540,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Ge"" means the element ""germanium"" and ""77Ge"" is the isotope ""germanium-77"" with a half-life of 4.72e-01 days.",surface_radioactivity_content_of_77Ge
3541,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Ge"" means the element ""germanium"" and ""77mGe"" is the metastable state of the isotope ""germanium-77"" with a half-life of 6.27e-04 days.",surface_radioactivity_content_of_77mGe
3542,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""As"" means the element ""arsenic"" and ""78As"" is the isotope ""arsenic-78"" with a half-life of 6.32e-02 days.",surface_radioactivity_content_of_78As
3543,Bq m-2,,,"The surface called ""surface"" means the lower boundary of the atmosphere. ""Content"" indicates a quantity per unit area. ""Radioactivity"" means the number of radioactive decays of a material per second. ""Ge"" means the element ""germanium"" and ""78Ge"" is the isotope ""germanium-78"" with a half-life of 6.03e-02 days.",surface_radioactivity_content_of_78Ge
